admin_division_name,gazeteer_closest_point,location_description,latitude,longitude,rain_report (trigger),inclination,soil_moisture,temperature
Manipur,Phek,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.3098633,94.48214677,downpour,36.24,0.907,24.0
Nagaland,Kohima,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",25.7658,93.9413,rain,53.52,0.848,21.6
Nagaland,Kohima,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885,rain,46.96,0.699,20.8
Manipur,Kakching,between Moltuk to New Songjang village,24.1419,94.1078,continuous_rain,42.96,0.671,31.9
Nagaland,Kohima,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",25.616,94.1167,downpour,29.68,0.843,23.9
Nagaland,Kohima,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",25.4769,94.1351,downpour,29.68,0.658,29.7
Assam,Maibong,Lumding-Badarpur section in North Cachar Hills district,25.5215,93.1645,downpour,26.74,0.826,23.1
Meghalaya,Nongstoin,"Ishok Chingphu(?), Bishnupur, Assam",25.8833,91.2,downpour,50.99,0.932,28.2
Nagaland,Kohima,"NH-39 in Karong area, Manipur",25.3179,94.0462,downpour,43.03,0.823,29.1
Assam,Lakhipur,National Highway 53 at Nungba in Tamenglong district of Manipur,24.75,93.4333,rain,46.24,0.766,27.1
Manipur,Imphal,"Ukhrul, Manipur",25.0985,94.3619,unknown,25.62,0.843,25.7
Sikkim,Mangan,"Bop, Sikkim",27.6163,88.6586,unknown,54.1,0.787,24.9
Meghalaya,Shillong,"Police CID complex(?), Shillong, Meghalaya",25.5728,91.885,downpour,49.97,0.814,24.2
Nagaland,Mon,"Techahan Ward, Mon, Nagaland, India",26.7223,95.0243,continuous_rain,31.37,0.932,31.2
Assam,Lakhipur,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,24.7625,93.4341,continuous_rain,30.45,0.766,30.0
Arunachal Pradesh,Itānagar,"Itanagar, Arunachal Pradesh",27.0987,93.816,continuous_rain,30.5,0.938,31.6
